****************************************************************************************
Output generated by CrystalDiffract(R) for Windows 6.5.0
Copyright © 1994-2015 CrystalMaker Software Ltd <http://www.crystalmaker.com>

(This file looks best when viewed using a non-proportional font such as Courier New.)
****************************************************************************************

  h   k   l   d(hkl)    2-Theta     Intensity  I/Imax   m     N        Lp

  0   1   1   3.75337   23.6856  1.31352e+000    2.6%   4     2    11.152
  0   2   0   3.37635   26.3757  1.51338e+000    3.0%   2     4     8.894
  1   0   1   3.37504   26.3861  7.12973e-002    0.1%   4     2     8.886
  1   1   1   3.01896   29.5652  8.28829e-001    1.6%   8     3     6.977
  2   0   0   2.54045   35.3013  1.52809e+000    3.0%   2     4     4.755
  1   2   1   2.38698   37.6535  1.42344e+001   28.0%   8     6     4.127
  2   1   0   2.37775   37.8051  9.62327e+000   18.9%   4     5     4.090
  0   0   2   2.25755   39.9010  1.12160e+001   22.1%   2     4     3.629
  2   0   1   2.21405   40.7194  9.04739e+000   17.8%   4     5     3.469
  2   1   1   2.10385   42.9551  2.97176e+001   58.4%   8     6     3.078
  1   0   2   2.06307   43.8476  2.96063e+001   58.2%   4     5     2.939
  2   2   0   2.02999   44.6001  3.59147e+001   70.6%   4     8     2.828
  0   3   1   2.01445   44.9629  5.08611e+001  100.0%   4    10     2.777
  1   1   2   1.97304   45.9600  2.48584e+001   48.9%   8     6     2.643
  0   2   2   1.87669   48.4668  1.12515e+000    2.2%   4     8     2.343
  1   3   1   1.87264   48.5783  1.53157e+001   30.1%   8    11     2.331
  2   2   1   1.85147   49.1702  2.47330e+001   48.6%   8     9     2.268
  1   2   2   1.76044   51.8964  1.24547e+001   24.5%   8     9     2.005
  0   4   0   1.68817   54.2958  4.26784e+000    8.4%   2    16     1.809
  2   0   2   1.68752   54.3185  4.36104e-001    0.9%   4     8     1.808
  2   3   0   1.68474   54.4157  5.38024e+000   10.6%   4    13     1.800
  2   1   2   1.63717   56.1339  2.85821e+000    5.6%   8     9     1.677
  3   0   1   1.58574   58.1249  7.97406e+000   15.7%   4    10     1.550
  2   3   1   1.57844   58.4200  7.06578e-001    1.4%   8    14     1.533
  3   1   1   1.54375   59.8646  2.33847e+000    4.6%   8    11     1.451
  1   3   2   1.52089   60.8590  6.90092e-001    1.4%   8    14     1.399
  1   4   1   1.50983   61.3524  9.14974e-001    1.8%   8    18     1.374
  2   2   2   1.50948   61.3682  5.03256e+000    9.9%   8    12     1.373
  0   1   3   1.46899   63.2518  6.86191e-003    0.0%   4    10     1.284
  1   0   3   1.44306   64.5244  1.56244e-001    0.3%   4    10     1.230
  3   2   1   1.43532   64.9145  3.07081e-001    0.6%   8    14     1.214
  1   1   3   1.41119   66.1651  1.28673e+000    2.5%   8    11     1.165
  2   4   0   1.40604   66.4389  1.80790e+000    3.6%   4    20     1.155
  3   0   2   1.35477   69.3025  3.09516e-002    0.1%   4    13     1.058
  0   4   2   1.35197   69.4665  3.84054e-001    0.8%   4    20     1.053
  2   3   2   1.35021   69.5705  5.46785e-001    1.1%   8    17     1.049
  2   4   1   1.34245   70.0308  3.97830e-001    0.8%   8    21     1.035
  3   1   2   1.32830   70.8884  2.69280e-002    0.1%   8    14     1.010
  1   2   3   1.32694   70.9722  1.07683e+001   21.2%   8    14     1.008
  1   4   2   1.30651   72.2547  2.71013e-001    0.5%   8    21     0.973
  3   3   1   1.29635   72.9117  7.59764e-002    0.1%   8    19     0.956
  2   0   3   1.29486   73.0090  3.15360e-002    0.1%   4    13     0.954
  0   5   1   1.29390   73.0722  1.34055e+000    2.6%   4    26     0.952
  2   1   3   1.27169   74.5620  7.55920e-003    0.0%   8    14     0.917
  4   0   0   1.27023   74.6628  1.27726e-001    0.3%   2    16     0.915
  3   2   2   1.25733   75.5618  2.62224e+000    5.2%   8    17     0.895
  1   5   1   1.25388   75.8065  1.59168e+000    3.1%   8    27     0.890
  0   3   3   1.25112   76.0030  3.10247e-004    0.0%   4    18     0.886
  4   1   0   1.24833   76.2035  2.77434e-003    0.0%   4    17     0.882
  4   0   1   1.22276   78.0951  8.76281e+000   17.2%   4    17     0.846
